Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9992427616926504,0.9995447043423823,0.9990045789368903,0.9992745686528313
BiLSTM,0.9979064587973274,0.9997146118721462,0.9962742811637895,0.9979914816028261
Fusion,0.9975055679287305,0.9998285959148693,0.9953926225078923,0.9976056779636862
